datetime,price,country,date
2022-01-01 00:00:00+00:00,124.7,NL,2022-01-01
2022-01-01 01:00:00+00:00,134.0,NL,2022-01-01
2022-01-01 02:00:00+00:00,58.8,NL,2022-01-01
2022-01-01 03:00:00+00:00,37.67,NL,2022-01-01
2022-01-01 04:00:00+00:00,39.7,NL,2022-01-01
2022-01-01 05:00:00+00:00,40.59,NL,2022-01-01
2022-01-01 06:00:00+00:00,43.26,NL,2022-01-01
2022-01-01 07:00:00+00:00,49.66,NL,2022-01-01
2022-01-01 08:00:00+00:00,70.05,NL,2022-01-01
2022-01-01 09:00:00+00:00,76.79,NL,2022-01-01
2022-01-01 10:00:00+00:00,84.1,NL,2022-01-01
2022-01-01 11:00:00+00:00,94.74,NL,2022-01-01
2022-01-01 12:00:00+00:00,96.8,NL,2022-01-01
2022-01-01 13:00:00+00:00,97.17,NL,2022-01-01
2022-01-01 14:00:00+00:00,101.27,NL,2022-01-01
2022-01-01 15:00:00+00:00,126.6,NL,2022-01-01
2022-01-01 16:00:00+00:00,149.97,NL,2022-01-01
2022-01-01 17:00:00+00:00,146.33,NL,2022-01-01
2022-01-01 18:00:00+00:00,140.28,NL,2022-01-01
2022-01-01 19:00:00+00:00,121.88,NL,2022-01-01
2022-01-01 20:00:00+00:00,102.61,NL,2022-01-01
2022-01-01 21:00:00+00:00,97.46,NL,2022-01-01
2022-01-01 22:00:00+00:00,85.16,NL,2022-01-01
2022-01-01 23:00:00+00:00,57.08,NL,2022-01-01
2022-01-02 00:00:00+00:00,52.59,NL,2022-01-02
2022-01-02 01:00:00+00:00,48.97,NL,2022-01-02
2022-01-02 02:00:00+00:00,34.94,NL,2022-01-02
2022-01-02 03:00:00+00:00,29.56,NL,2022-01-02
2022-01-02 04:00:00+00:00,33.97,NL,2022-01-02
2022-01-02 05:00:00+00:00,34.52,NL,2022-01-02
2022-01-02 06:00:00+00:00,41.8,NL,2022-01-02
2022-01-02 07:00:00+00:00,48.95,NL,2022-01-02
2022-01-02 08:00:00+00:00,60.01,NL,2022-01-02
2022-01-02 09:00:00+00:00,70.09,NL,2022-01-02
2022-01-02 10:00:00+00:00,66.26,NL,2022-01-02
2022-01-02 11:00:00+00:00,64.54,NL,2022-01-02
2022-01-02 12:00:00+00:00,46.96,NL,2022-01-02
2022-01-02 13:00:00+00:00,49.06,NL,2022-01-02
2022-01-02 14:00:00+00:00,74.99,NL,2022-01-02
2022-01-02 15:00:00+00:00,85.0,NL,2022-01-02
2022-01-02 16:00:00+00:00,100.0,NL,2022-01-02
2022-01-02 17:00:00+00:00,109.9,NL,2022-01-02
2022-01-02 18:00:00+00:00,99.9,NL,2022-01-02
2022-01-02 19:00:00+00:00,77.0,NL,2022-01-02
2022-01-02 20:00:00+00:00,46.16,NL,2022-01-02
2022-01-02 21:00:00+00:00,46.29,NL,2022-01-02
2022-01-02 22:00:00+00:00,32.93,NL,2022-01-02
2022-01-02 23:00:00+00:00,0.31,NL,2022-01-02
2022-01-03 00:00:00+00:00,-0.01,NL,2022-01-03
2022-01-03 01:00:00+00:00,-0.07,NL,2022-01-03
2022-01-03 02:00:00+00:00,-1.05,NL,2022-01-03
2022-01-03 03:00:00+00:00,-1.0,NL,2022-01-03
2022-01-03 04:00:00+00:00,0.0,NL,2022-01-03
2022-01-03 05:00:00+00:00,35.97,NL,2022-01-03
2022-01-03 06:00:00+00:00,90.34,NL,2022-01-03
2022-01-03 07:00:00+00:00,120.0,NL,2022-01-03
2022-01-03 08:00:00+00:00,129.9,NL,2022-01-03
2022-01-03 09:00:00+00:00,119.04,NL,2022-01-03
2022-01-03 10:00:00+00:00,119.19,NL,2022-01-03
2022-01-03 11:00:00+00:00,120.0,NL,2022-01-03
2022-01-03 12:00:00+00:00,122.62,NL,2022-01-03
2022-01-03 13:00:00+00:00,138.18,NL,2022-01-03
2022-01-03 14:00:00+00:00,143.1,NL,2022-01-03
2022-01-03 15:00:00+00:00,136.0,NL,2022-01-03
2022-01-03 16:00:00+00:00,148.49,NL,2022-01-03
2022-01-03 17:00:00+00:00,214.0,NL,2022-01-03
2022-01-03 18:00:00+00:00,192.0,NL,2022-01-03
2022-01-03 19:00:00+00:00,149.8,NL,2022-01-03
